Title,Singer,Movie,YouTube link,Official channel,Source upload
Amay Tumi Je Bhalobesechho,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Akashe Aaj Ranger Khela,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Nach Mayuri Nach Re,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Je Gaan Tomay Ami,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Moner Naam Madhumati,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Thuilam Re Mon Padmapatay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Moner Manush Khunjte,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Mon Niye Ki Morbo Naki Seshe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ami Khatar Patay Cheyechhilam,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jiban Gaan Gaahi Ki Je,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Mohuay Jomechhe Aaj Mou Go,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Sandhya Belay Tumi Ami Bose Achi Dujone,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Phule Gandha Nei,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Chokhe Chokhe Katha Balo,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Deep Jwele Oi Tara,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kine De Reshmi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Moyna Balo Tumi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Lakshmiti Dohai Tomar,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Kon Se Alor Swapna Niye,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aasbo Aar Ekdin Aaj Jai,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Katha Diye Ele Na,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Chokhe Naame Brishti,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Banshi Shune Ki,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Chhande Chhande Gaane Gaane,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ke Jeno Abir,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Raat Ekhano Anek Baki,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Tumi Jabe Go Chale Jabe Go,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Na Deko Na Deko Na Go More,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Na Ekhoni Noy Jabe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jete Dao Amay Dekona,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Angur Angur Chokh,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Besh Korechhi Prem,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aaj Dujane Mando Hole,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Raat Je Madhumati,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ei Raate Ektukahni Kachhe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Dharalo Jhak Jhak,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Nach Achhe Gaan Achhe,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Ga Chham Chham Ki Hoy Ki Hoy,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Moner Manush Phirlo Ghare,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Pata Kete Chul Bendhe Ke,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aay Chole Aay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Mon Metechhe Mon Mayurir,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Aaro Dure Chalo Jai,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Amar Din Kate Na,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
E Mon Amar Hariye Jay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Sagar Dake Aay Aay,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Bandha Moner Duar Diyechhi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Jadi Kane Kane Kichhu Bale,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Keno Sarbanasher Nesha,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Deke Deke Chole Gechhi,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
Pora Banshi Shunle E Mon,Asha Bhosle,Not stated in official YouTube description,https://www.youtube.com/watch?v=jfxbMhNvJ98,Saregama Bengali,Top 100 Bengali Songs Of Asha Bhosle | HD Songs | One Stop Jukebox
